"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine I","601
001","52","3.712","48.1","46.2","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Prevnt & Commnty Prac I","610
001","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar II","617
001","54","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Advanced Patient Evaluation I","620
002","54","3.769","61.1","33.3","3.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Hlth-Physician Asstnts","630
001","54","3.630","44.4","38.9","14.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology I","640
001","52","3.510","36.5","28.8","30.8","1.9",".",".",".",".",".",".",".",".","1.9",".",".","."
"Diagnostic Methods I","650
001","52","3.558","36.5","42.3","17.3","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Smnr & Capstone I","717
001","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","729
001","26","3.654","42.3","46.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","739
001","17","3.625","41.2","35.3","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Phy Asst Precptrshp: Int Med","749
001","20","3.763","50.0","45.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Phys Asst Precptrshp: Emrg Med","759
001","28","3.870","75.0","17.9","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Public Health and PA Practice","787
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","519","3.692","32.6","25.4","8.7","1.0",".",".",".",".",".","31.6",".",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","351","3.649","31.9","25.4","10.3","1.1",".",".",".",".",".","31.1",".",".","0.3",".",".","."
"Prof Yr 2","","144","3.728","34.0","23.6","6.3","0.7",".",".",".",".",".","33.3",".",".","2.1",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","33.3",".",".",".",".",".","."
"Prof Yr 4","","21","3.679","28.6","42.9",".",".",".",".",".",".",".","28.6",".",".",".",".",".","."
"Professionals","","519","3.692","32.6","25.4","8.7","1.0",".",".",".",".",".","31.6",".",".","0.8",".",".","."
"","Dept. Total","519","3.692","32.6","25.4","8.7","1.0",".",".",".",".",".","31.6",".",".","0.8",".",".","."
