"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Found. Infant Mental Health","001","","26","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"713
Reflective Practices IMH I","001","","26","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"714
ACP Consultation I","001","","6","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"812","041","","40","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","21","3.476","33.3","28.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","20","3.400","30.0","25.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","112","3.473","33.0","29.5","36.6","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"921
Behav Med Clerk-LaCrosse","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Psychiat Clrk-VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
