"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1782","3.603","59.4","18.6","11.6","5.0","3.8","0.2","0.3","0.8","",".",".","",".",".","0.1",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","2.713","9.3","24.1","20.4","18.5","18.5","5.6","3.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","27","3.074","25.9","14.8","29.6","7.4","22.2",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","17","3.273","29.4","23.5","35.3",".","11.8",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Undergraduates","","103","2.937","17.5","23.3","25.2","11.7","17.5","2.9","1.9",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","312","3.988","98.1","1.6","0.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","455","3.210","53.4","18.7","11.4","6.4","8.6",".","0.9",".","",".",".","",".",".",".",".",".","0.7"
"Prof Yr 3","","792","3.518","33.6","25.1","14.5","5.3","1.3",".",".","1.9","",".",".","",".","18.3",".",".",".","."
"Prof Yr 4","","244","3.886","85.2","7.0","4.5","2.0","0.4",".",".",".","",".",".","",".","0.4","0.4",".",".","."
"Professionals","","1803","3.639","56.7","17.0","9.9","4.2","2.8",".","0.2","0.8","",".",".","",".","8.1","0.1",".",".","0.2"
"","Dept. Total","1928","3.603","54.9","17.2","10.7","4.6","3.5","0.2","0.3","0.8","",".",".","",".","7.6","0.1",".",".","0.2"
