"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","37","3.125","2.7","24.3","64.9","5.4",".",".",".",".",".",".",".",".",".",".",".","2.7"
"812","042","","14","2.821",".","14.3","71.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"812","043","","19","3.184","5.3","26.3","68.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","23","3.348","21.7","26.1","52.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","116","3.238","14.7","25.9","55.2","2.6",".",".","0.9",".",".",".",".",".",".",".",".","0.9"
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922
Inpt-Outpt Clerk-Marshfield","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","4","***","","","","","","","","","","","","","","","",""
"927","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"927","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Inpatnt Clrk-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
"932","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"932","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benign Gyn/UroGyn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.8","."
