"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","219","3.239","39.7","17.8","18.7","11.4","6.4","3.7","1.8",".",".",".",".",".",".",".","0.5","."
"420
Intro-Drug Action&Delivry I","001","","144","3.351","30.6","31.9","20.1","13.2","3.5","0.7",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","144","3.851","81.9","9.0","6.9","1.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","12","3.727","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"521","001","","154","3.192","31.8","16.9","26.6","13.6","8.4","1.9","0.6",".",".",".",".",".",".",".",".","."
"521","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacology I","Course Total","","155","3.190","31.6","16.8","27.1","13.5","8.4","1.9","0.6",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","146","3.404","31.5","24.0","38.4","6.2",".",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","144","3.743","65.3","18.8","15.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","24","3.875","87.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","163","3.647","54.0","27.0","16.0","1.8","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 402 of 420",""
