"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","741
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","36","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","742
004","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","50","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","50","3.860","82.0","10.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","760
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
105","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","109","3.856","80.7","9.2","8.3","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Grad Sem Hlth-System Pharmacy","961
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
