"MEDICAL HISTORY AND BIOETHI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Bodies, Diseases, and Healers","212","001","","66","3.447","18.2","56.1","22.7","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Social Medicine","231","001","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Justice and Health Care","505","001","","15","3.536","26.7","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Dev Public Health-America","509","001","","20","3.842","65.0","30.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Internl Hlth & Global Society","553","001","","29","3.357","34.5","27.6","24.1","6.9",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"Topics-Ethics & Hist of Med","559","001","","23","3.500","34.8","21.7","21.7",".","4.3",".",".",".",".",".",".",".",".",".","17.4","."
"","610","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","610","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Regenerative Medicine Ethics","","Course Total","","9","3.658","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Development of Pub Health-Amer","709","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
