"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"577
Sm Animal Emrgncy&Crit Care II","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"632
Companion Animal&Equine Med I","001","","80","3.594","47.5","26.3","25.0",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","80","3.219","23.8","22.5","38.8","3.8","11.3",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","20","4.000","45.0",".",".",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","24","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","26","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"670","001","","40","4.000","27.5",".",".",".",".",".",".","72.5",".",".",".",".",".",".",".","."
"670","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","41","4.000","29.3",".",".",".",".",".",".","70.7",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","35","4.000","65.7",".",".",".",".",".",".","28.6",".",".",".",".",".",".","5.7","."
"675","001","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"675","002","","28","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"675","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","15","",".",".",".",".",".",".",".","80.0",".",".",".",".","20.0",".",".","."
"675","005","","71","4.000","98.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.4"
"675","007","","21","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"675","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","026","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","181","4.000","60.8",".",".",".",".",".",".","37.0",".",".",".",".","1.7",".",".","0.6"
"678
Small Animal Internal Med","001","","44","3.842","40.9",".",".",".",".","2.3",".","56.8",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","17","4.000","82.4",".",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","4.000","31.4",".",".",".",".",".",".","68.6",".",".",".",".",".",".",".","."
"775","001","","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"775","002","","16","",".",".",".",".",".",".",".","68.8",".",".",".",".",".",".","31.3","."
"775","003","","9","",".",".",".",".",".",".",".","44.4",".",".",".",".",".",".","55.6","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","48","",".",".",".",".",".",".",".","72.9",".",".",".",".",".",".","27.1","."
