"","999
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
003","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
005","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","192","3.541","38.0","37.0","16.1","2.1","1.0","",".","0.5","0.5","",".",".","",".","",".","2.1",".","2.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.250","5.0","50.0","35.0","10.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","19","3.447","21.1","52.6","21.1","5.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","53","3.523","28.3","47.2","18.9","1.9",".","",".",".",".","",".",".","",".","",".","1.9",".","1.9","."
"Senior","","81","3.616","51.9","32.1","11.1",".","2.5","",".","1.2",".","",".",".","",".","",".",".",".","1.2","."
"Undergraduates","","173","3.525","35.8","41.0","17.3","2.3","1.2","",".","0.6",".","",".",".","",".","",".","0.6",".","1.2","."
"Special","","5","***","","","","","","","","","","","",".","",".","",".",".",".","60.0","."
"Graduate","","11","4.000","63.6",".",".",".",".","",".",".","9.1","",".",".","",".","",".","27.3",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","192","3.541","38.0","37.0","16.1","2.1","1.0","",".","0.5","0.5","",".",".","",".","",".","2.1",".","2.6","."
