"TERM : 1182","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2017-2018","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAMILY MEDICINE","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","54
Dept. Total","3.817","68.5","20.4","7.4","",".","",".","",".","",".","1.9","",".",".","",".","",".","1.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"370","FAM MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Senior","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
