"MED","","","","","","","","","","","","","","","","","","","",""
"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"911
Prehospital Selective","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"958
Intro to Bedside Ultrasound","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"959","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","7","3.909","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","041","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","042","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
