"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Radiation Oncology-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Rsch in Human Cancer Bio","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","24","4.000","91.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".",".","."
