"BIOSTATISTICS & MED INFORMA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","",""
"Intro to Biostat Mthd-Pub Hlth","511","001","","34","3.897","82.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","541","001","","61","3.814","68.9","19.7","8.2",".",".",".",".","1.6",".",".",".",".","1.6",".",".","."
"Intro to Clinical Trials II","544","001","","14","3.577","35.7","35.7","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Introduction to Bioinformatics","576","001","","25","3.583","52.0","20.0","16.0","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Statistcl Mthds-Epidemiolgy","642","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Survival Analysis Thry & Mthds","741","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","826","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Cognitive Sci","841","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","899","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Informatics-Med Students","918","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","","175","3.800","69.7","16.0","7.4","0.6","0.6",".",".","3.4",".",".",".",".","1.7",".","0.6","."
