"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","235","3.839","76.6","17.0","4.3","0.4","0.4",".","0.4","0.4",".",".",".",".","0.4",".",".","."
"","103","001","239","3.564","46.9","31.4","12.1","5.9","0.8","0.4","0.8","1.7",".",".",".",".",".",".",".","."
"","103","002","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","","Course Total","259","3.594","50.2","29.7","11.2","5.4","0.8","0.4","0.8","1.5",".",".",".",".",".",".",".","."
"Women in World History","134","001","77","3.283","36.4","20.8","23.4","6.5","9.1","1.3","1.3",".",".",".",".",".",".",".","1.3","."
"Intro to LGBTQ+ Studies","200","001","105","2.986","15.2","31.4","25.7","9.5","9.5","4.8","2.9",".",".",".",".",".","1.0",".",".","."
"Intro to Black Women's Studies","221","001","19","3.184","31.6","21.1","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","18","3.639","72.2","5.6","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Women & the Humanities","310","001","35","3.561","42.9","31.4","11.4","5.7","2.9",".",".",".",".",".",".",".","5.7",".",".","."
"Topics-Gender, Women & Society","320","001","40","3.438","35.0","42.5","12.5","5.0","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Black Women in America","324","001","19","3.395","31.6","26.3","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Queer Bodies","343","001","35","3.614","51.4","25.7","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sex and Power","361","001","32","3.569","37.5","37.5","9.4","3.1","3.1",".",".",".",".",".",".",".","9.4",".",".","."
"Topics in Gender & Disability","370","001","39","3.769","76.9","17.9",".","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","30","3.586","23.3","66.7","6.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Childbirth in the US","431","001","33","3.848","75.8","18.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminism&Soc&Culturl Theory","449","001","25","3.100","40.0","28.0","8.0","8.0","4.0",".","12.0",".",".",".",".",".",".",".",".","."
"Women and Politics","469","002","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Psychology of Women and Gender","522","001","24","3.021","16.7","29.2","33.3",".","16.7",".","4.2",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","36","3.771","77.8","5.6","5.6","5.6","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"Spec Topics-Women & Health","533","001","38","3.803","65.8","31.6",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fem Thry&Women Writng-English","545","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","16","3.767","62.5","18.8","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Senior Honors Thesis I","681","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies","720","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Grad Study-Gen & Women's Study","880","001","11","3.889","72.7",".","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Feminist Political Theory","933","001","7","3.500",".","71.4",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
