"","POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth","451","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","","58","3.517","43.1","19.0","36.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Vulnerable Children: Africa","503","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","","24","3.478","29.2","33.3","33.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Toxicology I","625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Public Hlth Info","660","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","18","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Translat'l & Outcomes Research","709","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrating Med and PH","712","001","","91","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Global Health Care Systems","718","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conspiracies in Public Health","721","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"IP Public Health Leadership","758","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Sys, Mngmnt, & Policy","785","001","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Field Experience","788","001","","25","3.953","52.0","8.0",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"Biol Basis-Population Health","794","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","795","001","","32","3.844","78.1","12.5","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","795","002","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci","","Course Total","","59","3.929","84.7","10.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","005","","85","3.815","67.1","27.1","4.7",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Monitoring Population Health","803","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods 4","805","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetic Epidemiology","849","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904","004","","32","3.871","75.0","18.8","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","904","005","","8","3.250","37.5",".","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","","Course Total","","40","3.744","67.5","15.0","12.5",".","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"Internl Hlth Systems & Policy","915","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","","Page 385 of 420",""
