"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","124","2.802","23.4","3.2","27.4","1.6","34.7","1.6","1.6",".",".",".",".",".",".",".","5.6","0.8"
"","100","002","126","2.756","17.5","5.6","31.0","6.3","31.7","3.2","0.8",".",".",".",".",".","1.6",".","1.6","0.8"
"General Anthropology","","Course Total","250","2.778","20.4","4.4","29.2","4.0","33.2","2.4","1.2",".",".",".",".",".","0.8",".","3.6","0.8"
"Archaeology & Prehist World","102","001","120","2.930","25.0","6.7","32.5","8.3","15.8","5.0","1.7","2.5",".",".",".",".",".",".",".","2.5"
"","104","001","346","3.719","58.7","31.5","6.6","1.4","1.2",".","0.3",".",".",".",".",".",".",".","0.3","."
"","104","002","354","3.737","61.0","29.4","6.8","1.7","1.1",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","700","3.728","59.9","30.4","6.7","1.6","1.1",".","0.1",".",".",".",".",".",".",".","0.1","."
"Principles - Biological Anthro","105","001","393","3.414","45.0","23.7","16.3","5.9","4.6","2.3","1.3",".",".",".",".",".","0.3",".",".","0.8"
"Fr/Soph Seminar in Anthro","120","001","19","3.658","68.4","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","67","3.537","53.7","22.4","16.4","1.5","3.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro to Social Medicine","231","001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","14","3.308","28.6","28.6","28.6",".",".","7.1",".",".",".",".",".",".",".","7.1",".","."
"Africa: Introductory Survey","277","001","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","40","3.179","20.0","27.5","30.0","7.5","12.5",".",".",".",".",".",".",".","2.5",".",".","."
"Intro Ling-Descript&Theoret","301","001","10","3.100","30.0","20.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","12","2.727","25.0",".","41.7",".","8.3","8.3","8.3",".",".",".",".",".","8.3",".",".","."
"Topics in Archaeology","310","001","24","3.773","58.3","25.0","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","4.2"
"Emergence of Human Culture","321","001","32","2.967","43.8",".","15.6","6.3","18.8","3.1","6.3","3.1",".",".",".",".",".","3.1",".","."
"Intro-Anthropology of Japan","357","001","10","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","13","3.000","38.5",".","30.8","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","29","3.345","34.5","37.9","6.9","10.3","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","23","3.475","47.8","4.3","26.1",".","8.7",".",".","13.0",".",".",".",".",".",".",".","."
"Symbolic Anthropology","456","001","11","3.957","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro, Environment&Develop","477","001","12","3.591","50.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","490","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Evolutionary Theory","603","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Dimensions of Material Culture","764","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
