"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","475","005","","22","3.500","54.5","22.7","9.1",".","4.5",".","4.5",".",".",".",".",".","4.5",".",".","."
"Classical Soc Theory","","Course Total","","65","3.317","43.1","20.0","16.9","7.7","3.1","3.1","3.1",".",".",".",".",".","3.1",".",".","."
"Contemporary Soc Theory","476","001","","14","3.462","57.1","14.3","14.3",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"","496","001","","40","3.769","67.5","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".","2.5",".","."
"","496","002","","32","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"","496","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","007","","9","3.857","66.7",".","11.1",".",".",".",".","11.1",".",".",".",".",".","11.1",".","."
"","496","009","","68","3.423","30.9","29.4","25.0","10.3",".",".",".",".",".",".",".",".","2.9","1.5",".","."
"","496","022","","37","3.778","13.5","10.8",".",".",".",".",".","75.7",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","196","3.594","35.7","16.8","10.2","4.6",".",".",".","30.1",".",".",".",".","1.0","1.5",".","."
"Talk and Social Interaction","535","001","","16","3.267","37.5","18.8","12.5","6.3","18.8",".",".",".",".",".",".",".",".","6.3",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","13","3.333","15.4","53.8","7.7","7.7","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Gender, Science & Technology","611","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Political Sociology","624","001","","9","3.625","66.7",".","11.1",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Social Movements","626","001","","24","2.886","29.2","12.5","25.0","8.3","4.2",".","12.5","4.2",".",".",".",".","4.2",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","22","3.341","27.3","50.0","9.1",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","16","3.214","37.5","18.8","12.5","6.3",".","12.5",".","6.3",".",".",".",".","6.3",".",".","."
"Sociology of the Family","640","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","","17","3.567","47.1","11.8","23.5","5.9",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"Senior Honors Thesis","681","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intmed Soc Psych-Indiv&Scty","730","001","","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Research Methods-Sociology","750","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement&Questionnaires","752","001","","19","3.719","42.1","36.8","5.3",".",".",".",".","10.5",".",".",".",".","5.3",".",".","."
"Intermediate Classical Theory","773","001","","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","22","3.961","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Social Change","913","001","","16","3.808","56.3","18.8","6.3",".",".",".",".","6.3",".",".",".",".","12.5",".",".","."
