"TERM : 1182","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2017-2018","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","472
Dept. Total","3.659","65.7","10.8","11.4","",".","",".","",".","0.4","7.8","",".",".","",".","0.6","1.5",".","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","3","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
