"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","292","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","5","***","","","","","","","","","","","","","","","",""
