"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"812","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","30","3.417","23.3","36.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
