"MED","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.917","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","18","3.441","11.1","61.1","22.2",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"812","062","","16","3.406","12.5","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","16","3.406","31.3","31.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"812","064","","15","3.500","13.3","66.7",".","6.7",".",".",".",".",".",".",".",".",".",".","6.7","6.7"
"3rd Year Obs & Gynecology","Course Total","","65","3.435","16.9","53.8","21.5","1.5","1.5",".",".",".",".",".",".",".",".",".","3.1","1.5"
"910
Indep Rdg & Rsch-4th Yr Med","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","3","***","","","","","","","","","","","","","","","",""
"927","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Inpatnt Clrk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
"928
ObGyn Outptnt Clrk-LaCrosse","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Reproductive Health","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
