"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","38","3.527","31.6","44.7","15.8","5.3",".",".",".","2.6",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills I: Prof Prac in OT","610
001","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","20","3.605","35.0","45.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Assess Occupationl Participatn","621
001","19","3.368","15.8","52.6","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","630
001","20","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","632
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neural Basis-Norm&Path Mov","713
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","775
001","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"Research and Thesis","791
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"THER SCI
939","Dept. Total","199","3.620","43.7","35.7","15.1","1.0","0.5",".",".","3.5",".",".",".",".","0.5",".",".","."
