"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"Society&Health Care-Am Hist","504
001","32","3.000","25.0","25.0","21.9","12.5","3.1","9.4","3.1",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
001","18","3.361","11.1","50.0","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553
001","18","3.472","33.3","33.3","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","559
002","18","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","559
003","20","3.275","30.0","10.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","Course Total","38","3.342","31.6","13.2","47.4","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","30","3.483","36.7","43.3","16.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Development of Pub Health-Amer","709
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","Course Total","7","3.833","28.6","14.3",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Research Smr in Med History","920
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","183","3.345","31.7","27.3","27.3","4.9","1.1","1.6","1.6","4.4",".",".",".",".",".",".",".","."
