"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","041","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","13","3.385","23.1","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"812","043","","13","3.423","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"812","044","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","10","3.737","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","75","3.510","34.7","38.7","24.0",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","4","***","","","","","","","","","","","","","","","",""
"923","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SpecAdultPsychClerk-Mendota","Course Total","","2","***","","","","","","","","","","","","","","","",""
"924","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","8","3.850","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"946","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
