"","490
023","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","490
028","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in Nursing","Course Total","","16","3.393","43.8","18.8","12.5",".","6.3","6.3","",".","",".","",".",".","",".","",".","12.5",".",".","."
"Capstone Practicum for RN's","519
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CNP
691","Dept. Total","","78","3.656","52.6","30.8","7.7","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","3.800","50.0","25.0",".",".",".",".","",".","",".","",".",".","",".","",".","25.0",".",".","."
"Junior","","","29","3.784","58.6","37.9","3.4",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","44","3.568","50.0","25.0","11.4","4.5","2.3","2.3","",".","",".","",".",".","",".","",".","4.5",".",".","."
"Undergraduates","","","77","3.658","53.2","29.9","7.8","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.9",".",".","."
"Special","","","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","78","3.656","52.6","30.8","7.7","2.6","1.3","1.3","",".","",".","",".",".","",".","",".","3.8",".",".","."
