"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"812","081","","24","3.354","8.3","54.2","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","29","3.466","24.1","44.8","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","22","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Primary Care Clrkshp","Course Total","","75","3.440","20.0","48.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","061","","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"813","062","","13","3.545","15.4","61.5","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","7.7"
"813","063","","21","3.395","28.6","19.0","38.1","4.8",".",".",".",".",".",".",".",".","9.5",".",".","."
"813","064","","21","3.095","14.3","14.3","47.6","23.8",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Cl Neurosci Clrkshp","Course Total","","67","3.310","20.9","26.9","35.8","10.4",".",".",".",".",".",".",".",".","4.5",".",".","1.5"
"840","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"840","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","064","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","081","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec 4th Yr Precept/Clrkshp","Course Total","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"851","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"851","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Appleton","Course Total","","4","***","","","","","","","","","","","","","","","",""
"852","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"852","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Ashland","Course Total","","3","***","","","","","","","","","","","","","","","",""
"853","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"853","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Beaver Dam","Course Total","","2","***","","","","","","","","","","","","","","","",""
"854
Preceptorship-Beloit","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Blk Riv Falls","Course Total","","3","***","","","","","","","","","","","","","","","",""
"856","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"856","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"856","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Eau Claire","Course Total","","4","***","","","","","","","","","","","","","","","",""
"858","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"858","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Green Bay","Course Total","","2","***","","","","","","","","","","","","","","","",""
"859","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"859","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preceptorship-Janesville","Course Total","","2","***","","","","","","","","","","","","","","","",""
"860
Preceptorship-LaCrosse","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"862
Preceptorship-Marshfield","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"863
Preceptorship-Milwaukee","046","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Preceptorship-Monroe","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Preceptorship-Rhinelander","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
