"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","259","3.688","71.4","11.2","10.0","3.1","2.3",".","1.5","0.4",".",".",".",".",".",".",".","."
"201
Speech Science","001","","63","2.774","12.7","20.6","23.8","14.3","17.5","7.9","1.6","1.6",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","85","3.500","50.6","18.8","21.2","4.7","1.2",".","2.4","1.2",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","176","2.812","10.8","13.6","40.3","9.7","18.8","2.8","2.3","1.7",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","57","3.798","68.4","22.8","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","54","3.731","51.9","42.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","23","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","23","3.848","82.6","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","36","3.417","33.3","30.6","30.6","2.8",".","2.8",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","26","3.740","53.8","34.6","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","32","3.871","81.3","12.5",".",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"640
Lang&Learn Disordrs-Childrn","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
The Treatment of Stuttering","001","","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","34","3.987","94.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","2.9"
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Pediatric Audiology","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Counseling in Audiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"835
Clinical Research Methods","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
The Human Balance System","001","","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"846
The Human Balance System: Lab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 183 of 406",""
