"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"849
Geriatric Audiol: Diag & Rehab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"850
Hearing Sci I: Basic Acoustics","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"852
Hearing Assessment","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"853
Hearing Assessment Laboratory","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"854
Electroacous & Instr Calibratn","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Electroacoustics&Calibration","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Physiolog Assess Audiology II","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Physiol Assess Auditory Sys II","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Clerkship in Audiology I","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892
Clerkship in Audiology II","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"893
Clerkship in Audiology III","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"894
Externship in Audiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","5","***","","","","","","","","","","","","","","","",""
"900
Seminar-Speech Science","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Pathology","Course Total","","43","3.976","95.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
