"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","194","3.887","91.2","3.1","3.6",".","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","105
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","217","3.899","92.2","2.8","3.2",".","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","212
001","129","3.903","86.8","8.5","3.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","153","3.899","85.0","11.1","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","128","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"","219
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","152","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"Independent Reading","299
064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","126","3.893","81.0","16.7","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","150","3.900","82.0","16.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","57","3.702","54.4","31.6","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","114","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","22","3.818","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","136","3.963","94.1","5.1",".","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","64","3.945","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
419","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","87","3.948","90.8","8.0","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","126","3.496","20.6","58.7","19.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","23","3.500","21.7","56.5","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","149","3.497","20.8","58.4","20.1","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","124","3.730","59.7","27.4","12.1","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","22","3.477","31.8","40.9","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","146","3.692","55.5","29.5","13.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","60","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","2","***","","","","","","","","","","","","","","","",""
"Practicum in School Nursing","472
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
003","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","590
004","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
006","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
020","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","81","3.851","38.3","6.2","3.7",".",".",".",".","50.6",".",".",".",".","1.2",".",".","."
"","601
001","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","26","3.789","65.4","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
040","7","3.850","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 386 of 406",""
