"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
002","18","3.333","11.1","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","120
003","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","31","3.419","19.4","51.6","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","314","3.390","25.5","43.6","20.4","6.1","3.5",".","0.6","0.3",".",".",".",".",".",".",".","."
"","002
125","309","2.916","16.5","18.8","27.8","18.1","13.9","2.3","2.3","0.3",".",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","623","3.155","21.0","31.3","24.1","12.0","8.7","1.1","1.4","0.3",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","141","3.489","44.7","29.1","17.7","2.8","1.4","2.8","0.7","0.7",".",".",".",".",".",".",".","."
"","134
001","392","3.124","17.1","26.3","28.8","20.2","5.9","0.3","0.5","1.0",".",".",".",".",".",".",".","."
"","134
002","89","3.738","76.4","10.1","3.4","2.2","2.2",".","2.2","3.4",".",".",".",".",".",".",".","."
"","134
003","97","3.665","64.9","12.4","11.3","1.0",".","4.1",".","6.2",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","578","3.271","34.3","21.5","22.0","14.2","4.3","0.9","0.7","2.2",".",".",".",".",".",".",".","."
"The Sociology of Gender","138
002","85","3.613","54.1","28.2","7.1","3.5","5.9",".",".","1.2",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","34","3.076","20.6","17.6","32.4","14.7","8.8","2.9",".","2.9",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","191","2.950","18.3","19.9","22.5","18.3","17.3","2.6","0.5","0.5",".",".",".",".",".",".",".","."
"","198
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
016","21","3.898","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","33","3.935","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","124","3.455","36.3","36.3","16.9","4.0","4.0","1.6",".",".",".",".",".",".",".","0.8",".","."
"The Sociological Enterprise","211
001","90","3.278","35.6","21.1","25.6","5.6","10.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","53","3.404","28.3","41.5","13.2","11.3","3.8",".",".","1.9",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","26","3.240","23.1","15.4","34.6","19.2",".",".",".","7.7",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology and Society","245
001","20","3.500","40.0","50.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","9","3.222","11.1","44.4","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","35","3.242","14.3","45.7","22.9","5.7","2.9",".","2.9","2.9",".",".",".",".",".","2.9",".","."
"The Jews, States, & Citizenshp","258
001","11","2.955","18.2","9.1","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","26","2.942","15.4","23.1","30.8","11.5","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"","357
001","26","3.400","30.8","38.5","19.2",".","3.8","3.8",".",".",".",".",".",".",".","3.8",".","."
"","357
002","12","3.542","16.7","75.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","30","3.341","36.7","26.7","26.7",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","357
004","25","3.640","40.0","48.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","27","3.404","33.3","29.6","22.2","3.7","7.4",".",".",".",".",".",".",".",".",".",".","3.7"
"","357
006","32","2.734","18.8","18.8","15.6","21.9","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","357
007","26","3.038","19.2","26.9","26.9","11.5","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","178","3.260","28.7","33.7","19.7","6.2","6.2","2.8","1.7",".",".",".",".",".",".","0.6",".","0.6"
"","001
360","29","2.862","24.1","24.1","10.3","17.2","10.3","10.3","3.4",".",".",".",".",".",".",".",".","."
"","002
360","27","3.056","40.7","14.8","11.1","3.7","22.2","3.7","3.7",".",".",".",".",".",".",".",".","."
"","360
003","30","2.862","23.3","20.0","20.0","13.3","6.7","6.7","6.7","3.3",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 301 of 406",""
