"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"692
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","76","3.889","78.9","15.8","1.3","1.3",".",".",".",".",".",".",".",".","2.6",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","14","3.817","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","99","3.869","78.8","13.1","5.1","1.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"700
Intro Prosmr-Grad Students","001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"750
Research Methods-Sociology","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Survey Methods-Social Rsch","001","","18","3.656","38.9","38.9","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"754
Qual Research Methods-Sociol","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Intermediate Classical Theory","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","26","4.000","11.5",".",".",".",".",".",".","88.5",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","9","3.857","66.7",".","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","11","3.929","54.5","9.1",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Class Analysis&Hist Change","001","","14","3.917","71.4","14.3",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"952
Math&Stat Applications-Soc","001","","12","3.375",".","50.0","16.7",".",".",".",".",".",".",".",".",".","25.0",".",".","8.3"
"961
Smr-Adv Social Psychology","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"971
Smr:Topics-Demography&Ecol","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 303 of 406",""
