"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"440
Therpeutcs-PAs&Adv Prac Nur,I","001","","30","3.617","50.0","30.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","30","3.984","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Fluid & Electrolyte Therapy","001","","62","3.598","41.9","40.3","11.3","3.2","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","125","3.328","24.8","32.0","29.6","11.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","128","3.199","10.2","39.8","31.3","17.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"664","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","49","3.881","81.6","10.2","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","50","3.966","90.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"740","003","","29","3.741","75.9","13.8","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"740","004","","26","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"740","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","56","3.748","75.0","10.7","7.1","5.4",".","1.8",".",".",".",".",".",".",".",".",".","."
"741","003","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","004","","18","3.667","77.8","11.1",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"741","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"741","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","46","3.835","84.8","10.9",".",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"760","003","","80","3.788","71.3","16.3","11.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","89","3.860","79.8","13.5","5.6","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"760","103","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"760","104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","","178","3.818","75.8","14.0","8.4","1.1",".","0.6",".",".",".",".",".",".",".",".",".","."
"961
Conf:Rsch Workers Hosp Phm","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","",".",".",".",".",".",".",".","55.6",".",".",".",".",".",".","44.4","."
