"TERM : 1072","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2006-2007","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","103","3.597","48.5","32.0","17.5","",".","1.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","71","3.532","38.0","38.0","21.1","",".","2.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","28","3.805","71.4","21.4","7.1","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","100","3.591","47.0","33.0","18.0","",".","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","103","3.597","48.5","32.0","17.5","",".","1.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
