"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Thry & Prac-Emergency Care","348
001","34","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Med-Phy Asst I","400
001","28","3.482","28.6","42.9","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patnt Eval/Prim Care I","420
001","28","3.286","10.7","46.4","32.1","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Obs & Gyn-Physician Asstnts","430
001","36","3.431","27.8","38.9","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","629
001","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","639
001","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","30","3.883","83.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","649
001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","186","3.735","51.1","29.0","14.5","4.3","0.5",".",".",".",".",".",".",".","0.5",".",".","."
