"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"716","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs II","Course Total","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","4","***","","","","","","","","","","","","","","","",""
"733
Birth&The Postbirth Period","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"747","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"747","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","15","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"753
Adv Prac Nurs-Com Mentl Disord","001","","28","3.963","89.3","7.1",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"798","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","12","4.000","41.7",".",".",".",".",".",".","50.0",".",".",".",".","8.3",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"811
Physiological Basis-Nursing","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
