"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","18","3.000","5.6","38.9","38.9","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","192","3.552","35.4","38.0","21.4",".","0.5","0.5",".","3.6",".",".",".",".",".","0.5",".","."
"","199","007","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","19","3.521","47.4","21.1","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","47","3.817","76.6","10.6","10.6",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","20","3.725","70.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","96","3.353","31.3","32.3","18.8","10.4","5.2","1.0",".","1.0",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","99","3.284","24.2","34.3","18.2","17.2","3.0","1.0",".","2.0",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","42","3.513","50.0","23.8","11.9","2.4","4.8",".","2.4","4.8",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","81","3.667","63.0","14.8","17.3","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","2.941","20.6","14.7","26.5","14.7","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","9","2.944","55.6","11.1","11.1",".",".",".","22.2",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","26","3.100","19.2","19.2","42.3",".","11.5","3.8",".","3.8",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","18","3.382","22.2","27.8","44.4",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Contemp Afrcn&Caribbn Drama","413","001","8","3.232","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","18","3.278","27.8","27.8","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","13","3.308","30.8","30.8","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Major Authors","525","001","24","2.864","33.3","8.3","20.8",".","16.7","4.2","8.3","4.2",".",".",".",".",".","4.2",".","."
"Hist-Civ Rghts Movmnt in US","628","001","25","3.200","8.0","40.0","44.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","14","3.250","21.4","28.6","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","14.3","."
"Topics in Afro-Amer Culture","675","001","30","3.224","36.7","20.0","26.7","3.3","3.3",".","6.7","3.3",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","8","3.333","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","17","3.264","35.3","23.5","29.4",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
