"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"362
Development of Young Child","001","","185","3.077","26.5","21.1","24.9","9.2","10.8","3.8","2.2","1.6",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","198","3.185","21.7","27.8","23.7","18.7","5.6","0.5","0.5","1.5",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","36","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","29","3.500","27.6","44.8","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","33","3.906","84.8","6.1","6.1",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"474
Racial Ethnic Families in U.S.","001","","30","3.433","50.0","20.0","10.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"516","001","","30","3.617","70.0","13.3","3.3","10.0",".",".","3.3",".",".",".",".",".",".",".",".","."
"516","002","","29","3.569","51.7","31.0","13.8",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","","59","3.593","61.0","22.0","8.5","5.1",".",".","3.4",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","31","3.565","51.6","22.6","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"521
African American Families","001","","34","3.721","64.7","20.6","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","31","3.097","16.1","19.4","38.7","19.4","6.5",".",".",".",".",".",".",".",".",".",".","."
"601","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","23","3.896","91.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"662
Adv Study of Young Child","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.893","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"766
Current Iss-Family Living","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Adv Smr-Famly Stress&Coping","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Prevention Science","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 139 of 406",""
