"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biomedical Engr Design","001","","40","3.463","20.0","55.0","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"300
Biomed Engineering Design","001","","39","3.615","33.3","61.5","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","45","3.667","60.0","24.4","6.7","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"389","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Capstone Design Course","001","","45","3.633","51.1","26.7","20.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"462
Medical Instrumentation","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Radiolgcal Physcs&Dosimetry","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Intro to Tissue Engineering","001","","29","3.672","51.7","31.0","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Imag Sci:Determnistc Aspct","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","11","3.542","36.4","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","35","3.763","71.4","22.9",".","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","30","3.533","43.3","26.7","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","3.889","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"710
Adv in Med Magnet Resonance","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 100 of 406",""
