"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Psychosoc & Mgmt Aspects-Pharm","001","","129","3.337","25.6","31.0","34.1","3.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","15","3.393","33.3","6.7","53.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"618
Prof Decision-Making/Phm Pract","001","","126","3.698","46.0","47.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Community Phcy Management","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"713
Pharmaceuticl Marketing&Policy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","336","3.551","43.5","31.0","17.9","1.5","2.1",".",".","3.6",".",".",".",".","0.3",".","0.3","."
