"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","176","2.787","15.9","16.5","15.9","18.8","29.0","1.7","1.1","1.1",".",".",".",".",".",".",".","."
"","100","002","178","2.654","12.9","11.8","18.5","18.0","35.4","1.1","2.2",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","354","2.720","14.4","14.1","17.2","18.4","32.2","1.4","1.7","0.6",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","135","2.629","13.3","12.6","15.6","17.0","33.3","3.7","2.2","2.2",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","521","3.576","43.8","35.1","14.0","2.1","1.2","0.4","0.8","2.5",".",".",".",".",".","0.2",".","."
"Principles - Biological Anthro","105","001","175","2.727","12.0","13.7","26.3","9.7","34.3","3.4",".",".",".",".",".",".",".","0.6",".","."
"Principles of Archaeology","112","001","104","3.044","14.4","30.8","34.6","6.7","4.8","5.8","1.9",".",".",".",".",".",".","1.0",".","."
"","120","001","17","3.406","47.1","11.8","17.6","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","120","002","16","3.406","31.3","31.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","","Course Total","33","3.406","39.4","21.2","24.2","3.0","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","25","3.083","16.0","28.0","24.0","20.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","002","41","2.775","26.8","9.8","14.6","14.6","19.5","9.8","2.4",".",".",".",".",".","2.4",".",".","."
"Intro Ling-Descript&Theoret","301","001","23","3.000","26.1","30.4","13.0","13.0","4.3","8.7","4.3",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","44","2.775","18.2","11.4","15.9","11.4","29.5","4.5",".",".",".",".",".",".","2.3",".","6.8","."
"","310","001","22","3.381","27.3","31.8","22.7","13.6",".",".",".",".",".",".",".",".",".","4.5",".","."
"","310","002","15","3.143","33.3","20.0","13.3","6.7","13.3","6.7",".","6.7",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","37","3.286","29.7","27.0","18.9","10.8","5.4","2.7",".","2.7",".",".",".",".",".","2.7",".","."
"Indians of North America","314","001","117","3.420","39.3","21.4","26.5","3.4","4.3","1.7",".","3.4",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","90","2.651","24.4","4.4","28.9","2.2","17.8","12.2","5.6","2.2",".",".",".",".","1.1",".","1.1","."
"Peoples of the Andes Today","327","001","27","3.365","44.4","18.5","22.2",".","3.7","7.4",".","3.7",".",".",".",".",".",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","11","3.389","36.4","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".",".","18.2","."
"Anthropology of Religion","343","001","24","3.507","50.0","16.7","16.7",".","4.2","4.2",".",".",".",".",".",".",".","8.3",".","."
"Political Anthropology","350","001","21","3.687","66.7","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","357","001","21","3.695","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of China","358","001","15","3.679","46.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Elementary Quechua","361","001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","19","3.579","47.4","42.1",".",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","33","3.480","51.5","21.2","12.1",".","6.1",".","3.0","6.1",".",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Biol Anthro","454","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnohist-Am Indian: Relig&Pol","471","001","9","2.500",".","22.2","44.4",".",".","11.1","11.1","11.1",".",".",".",".",".",".",".","."
"","490","001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","18","3.306","33.3","33.3","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","46","3.533","45.7","32.6","15.2","4.3",".",".","2.2",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","18","3.194","22.2","5.6","66.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecological Models-Behavior","658","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","16","4.000","81.3",".",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","690","002","10","3.813","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","690","003","10","3.938","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 157 of 406",""
