"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"625
Vet Diag&Therapeut Techniq","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Companion Animal&Equine Med I","001","","78","3.147","21.8","14.1","44.9","10.3","9.0",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","79","2.994","12.7","15.2","46.8","8.9","16.5",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","22","4.000","59.1",".",".",".",".",".",".","40.9",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","23","4.000","30.4",".",".",".",".",".",".","69.6",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","37","4.000","13.5",".",".",".",".",".",".","83.8",".",".",".",".","2.7",".",".","."
"672
Sr Rotation:Theriogenology","001","","35","4.000","51.4",".",".",".",".",".",".","48.6",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","32","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"675","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","31","4.000","29.0",".",".",".",".",".",".","71.0",".",".",".",".",".",".",".","."
"675","005","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","024","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","026","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","102","4.000","24.5",".",".",".",".",".",".","75.5",".",".",".",".",".",".",".","."
"676
Sr Rotation:Swine Medicine","001","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"678","001","","53","3.906","58.5",".",".",".",".","1.9",".","39.6",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","55","3.906","56.4",".",".",".",".","1.8",".","41.8",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","38","4.000","52.6",".",".",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
