"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","210","3.061","17.1","10.5","46.2","19.5","3.8",".","1.0","1.9",".",".",".",".",".",".",".","."
"Property Risk Management","610","001","50","3.337","16.0","46.0","24.0","12.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Life and Health Insurance","630","001","58","3.254","29.3","22.4","22.4","17.2","6.9",".",".","1.7",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","17","3.382","47.1","5.9","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","27","3.648","51.9","29.6","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","224","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
