"Clinical Internship II","651
001","36","",".",".",".",".","","",".",".","",".","",".","",".","","97.2","2.8",".","",".","",".",".","."
"Clinical Internship III","652
001","36","",".",".",".",".","","",".",".","",".","",".","",".","","100.0",".",".","",".","",".",".","."
"Clin Path: Implications for PT","665
001","37","3.459","10.8","70.3","18.9",".","","",".",".","",".","",".","",".","",".",".",".","",".","",".",".","."
"Musculoskel Assesmnt&Trtmnt I","676
001","37","3.311","2.7","56.8","40.5",".","","",".",".","",".","",".","",".","",".",".",".","",".","",".",".","."
"PHY THER
745","Dept. Total","422","3.496","14.5","28.9","11.4","",".","",".","",".","",".","",".","",".","45.0","0.2","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","160","3.645","33.8","31.9","9.4","",".","",".","",".","",".","",".","",".","25.0",".","",".","",".",".",".","."
"Prof Yr 2","","192","3.368","3.6","37.0","17.2","",".","",".","",".","",".","",".","",".","42.2",".","",".","",".",".",".","."
"Prof Yr 3","","70","",".",".",".","",".","",".","",".","",".","",".","",".","98.6","1.4","",".","",".",".",".","."
"Professionals","","422","3.496","14.5","28.9","11.4","",".","",".","",".","",".","",".","",".","45.0","0.2","",".","",".",".",".","."
"","Dept. Total","422","3.496","14.5","28.9","11.4","",".","",".","",".","",".","",".","",".","45.0","0.2","",".","",".",".",".","."
