"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","217","3.452","52.1","12.9","24.9","3.7","3.7","0.5","2.3",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","144","2.997","11.1","20.8","38.2","17.4","11.8","0.7",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","116","2.849","16.4","15.5","25.0","19.8","18.1","4.3","0.9",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Pharmacology I","001","","138","2.710","9.4","8.7","35.5","17.4","23.9","5.1",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","128","3.047","25.8","6.3","40.6","9.4","14.8","2.3",".",".",".",".",".",".","0.8",".",".","."
"540
Drug Delivery Systems","001","","125","3.132","8.0","32.8","38.4","19.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","124","3.738","68.5","14.5","15.3","0.8",".","0.8",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","14","3.286","7.1","57.1","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","141","3.443","31.2","31.2","33.3","3.5","0.7",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","15","3.267","26.7","6.7","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","110","3.162","19.1","20.0","38.2","11.8","7.3","0.9",".","2.7",".",".",".",".",".",".",".","."
"645
Phmceut","001","","126","3.443","32.5","34.9","23.8","7.9","0.8",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"691
Senior Thesis","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.833","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","14","3.618","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Conference-Research Workers","001","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 391 of 406",""
