"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"","110","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110","002","116","3.066","31.0","19.0","19.0","9.5","11.2","5.2","2.6","1.7","0.9",".",".",".",".",".",".","."
"Intro to Communicative Dis","","Course Total","122","3.105","32.8","19.7","18.0","9.0","10.7","4.9","2.5","1.6","0.8",".",".",".",".",".",".","."
"Speech Science","201","001","65","3.700","67.7","18.5","6.2","4.6","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","50","3.170","14.0","40.0","26.0","10.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","75","3.773","77.3","10.7","8.0","2.7",".",".","1.3",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","139","3.411","51.8","13.7","18.0","2.9","6.5","2.2","2.2","2.2","0.7",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","83","3.373","24.1","41.0","21.7","12.0","1.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","72","3.729","65.3","19.4","12.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","32","3.766","71.9","9.4","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","82","3.384","19.5","47.6","23.2","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","68","2.882","1.5","26.5","41.2","14.7","13.2","2.9",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","13","3.824","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","30","3.927","93.3",".","3.3",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"Lang&Cogntv-Com Dis in Adults","704","001","25","3.760","52.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","28","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis-Ped Populatn","750","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","13","3.952","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","41","3.960","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 186 of 405",""
