"","760
056","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","152","3.858","84.2","7.9","5.3","0.7","2.0","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.688","50.0","37.5","12.5",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
028","8","3.792","50.0","50.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"PHM PRAC
728","Dept. Total","1461","3.606","53.7","21.4","18.1","5.1","1.4","",".","0.2","0.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","34","3.181","8.8","41.2","26.5","14.7","8.8","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","35","3.224","11.4","40.0","25.7","14.3","8.6","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","21","3.694","57.1","33.3","4.8","4.8",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","152","3.767","73.0","23.7","2.0",".","0.7","",".","0.7",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","374","3.291","46.0","19.0","26.2","7.2","1.3","",".","0.3",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","645","3.446","44.8","25.7","21.7","6.2","1.4","",".","0.2",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","233","3.875","84.1","8.2","5.2","0.4","1.3","",".",".","0.9","",".",".","",".","",".","",".",".",".","."
"Professionals","","1404","3.609","54.7","20.8","18.0","4.8","1.3","",".","0.2","0.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1461","3.606","53.7","21.4","18.1","5.1","1.4","",".","0.2","0.1","",".",".","",".","",".","",".",".",".","."
