"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","171","3.854","84.2","10.5","2.3","1.2",".","1.8",".",".",".",".",".",".",".",".",".","."
"","302
001","125","3.952","92.8","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","152","3.961","94.1","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","65","3.623","36.9","50.8","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","88","3.716","52.3","38.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","133","3.699","51.1","39.1","8.3","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","23","3.348","30.4","30.4","17.4","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","156","3.647","48.1","37.8","9.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","134","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","319
002","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","157","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","332
001","132","3.769","56.8","40.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","155","3.787","60.0","37.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","126","3.897","82.5","14.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","149","3.906","83.9","13.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","126","3.770","60.3","34.1","4.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","23","3.783","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","149","3.772","61.1","32.9","5.4","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","57","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","60","3.908","85.0","11.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","83","3.916","85.5","12.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","590
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","22","3.405","31.8","13.6","50.0",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","590
030","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","40","3.579","52.5","17.5","27.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","613
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 384 of 405",""
