"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.903","84.6",".",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"812","061","","20","3.500","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.605","21.1","78.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","19","3.474","15.8","63.2","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","76","3.546","17.1","75.0","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"930","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","3","***","","","","","","","","","","","","","","","",""
"940
Adolescent Med Clerk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Ped Endocr/DiabetesClrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Clin Genetics Clerk-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965
Pediatric Neurol Clerk-CSC","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
