"EDU","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Prof Skills II: Communctn-OT","611
001","24","3.646","37.5","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills IV: Commun OT Prac","613
001","23","3.630","39.1","47.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infant&Chld Occs&Ther Intrvntn","622
001","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mid&Late Adlt Occs&Thr Intervn","624
001","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Mid&Late Adult","627
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Lectures for Occ Therapy","629
001","23","3.413","30.4","30.4","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Inquiry in OT II: Methods","672
001","24","3.729","45.8","54.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry-OT IV: Sci Writing","674
001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","217","3.770","61.3","30.4","6.5","0.9",".",".",".",".",".","0.5","0.5",".",".",".",".","."
