"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"375
Concepts&Methods-Pop Hlth Sci","001","","60","3.992","96.7","1.7",".",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"471
Intro-Environmental Health","001","","56","3.682","57.1","28.6","8.9","1.8",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","6","2.917","33.3","16.7",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"645","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"645","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health Field Course","Course Total","","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"650","033","","44","3.648","56.8","29.5","11.4",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"650","039","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"650","040","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","041","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","042","","55","3.606","43.6","38.2","10.9",".",".",".","1.8","1.8",".",".",".",".","1.8",".",".","1.8"
"650","046","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"650","080","","37","3.929","64.9","10.8",".",".",".",".",".","24.3",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","192","3.731","64.6","21.4","5.7",".",".",".","1.0","5.2",".",".",".",".","1.0","0.5",".","0.5"
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","29","3.957","82.8","10.3",".",".",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","29","3.931","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","17","3.898","70.6","11.8","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"796
Intro-Health Services Research","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Health Economics","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
