"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","3.393","37.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Institutional Economics","707","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","58","3.314","17.2","31.0","46.6","3.4",".",".",".","1.7",".",".",".",".",".",".",".","."
"","713","001","","30","3.167","16.7","16.7","53.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","713","002","","25","3.220","20.0","20.0","48.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","55","3.191","18.2","18.2","50.9","9.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","714","001","","31","3.597","38.7","41.9","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","17","3.500","29.4","35.3","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","48","3.564","35.4","39.6","22.9",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","872","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","899","003","","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
