"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"820
Rehab Cnslg Psy-Theor & Iss","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Leadershp-Inclusive Schling","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","003","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 2","Course Total","","5","***","","","","","","","","","","","","","","","",""
"900","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 3","Course Total","","4","***","","","","","","","","","","","","","","","",""
"910
Rehab Cnsl Psych-Internship","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Rehab Cnsl Psych-Prac Tchng","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Rehab Cnsl Psych-Supv Rsch","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Internship: Research","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Smr:Profsnl Issues-RehabPsy","001","","12","3.227","41.7","8.3","16.7",".","25.0",".",".",".",".",".",".",".","8.3",".",".","."
"985
Indv/Disblty:Adv Rsch Mthds","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","24","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
