"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","27","3.574","40.7","37.0","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Iss Pro Pract for Phy Assts","416
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patnt Eval/Prim Care II","421
001","39","3.590","30.8","56.4","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Medicine for Phy Asst","440
001","28","3.536","28.6","57.1","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","40","3.522","37.5","45.0","7.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Phy Assts","516
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","629
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","639
002","31","3.855","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","36","3.819","66.7","30.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","649
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","281","3.759","63.0","28.8","6.0","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
