"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","268","2.961","19.4","16.0","32.1","12.7","14.9","4.5","0.4",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615
001","57","3.482","38.6","33.3","14.0","14.0",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","53","3.425","20.8","52.8","17.0","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","53","3.406","18.9","49.1","26.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","Course Total","106","3.415","19.8","50.9","21.7","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","27","3.654","51.9","25.9","14.8","3.7",".",".",".",".",".",".",".",".",".","3.7",".","."
"Risk Management","710
030","60","3.475","30.0","33.3","35.0",".",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Contemporary Topics","765
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Financing Techniques","815
001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","542","3.202","25.6","26.9","26.4","9.8","7.4","2.2","0.4","0.9",".",".",".",".",".","0.2",".","0.2"
