"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544
001","","80","3.831","76.3","15.0","7.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545
001","","80","3.713","63.8","18.8","15.0","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546
001","","79","3.576","41.8","34.2","21.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631
001","","78","2.718","12.8","11.5","26.9","14.1","29.5","5.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","","78","3.571","51.3","21.8","20.5","5.1",".","1.3",".",".",".",".",".",".",".",".",".","."
"","642
001","","37","4.000","18.9",".",".",".",".",".",".","81.1",".",".",".",".",".",".",".","."
"","642
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","642
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","43","4.000","20.9",".",".",".",".",".",".","79.1",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","21","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","645
001","","39","4.000","59.0",".",".",".",".",".",".","41.0",".",".",".",".",".",".",".","."
"","645
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","42","4.000","54.8",".",".",".",".",".",".","45.2",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","26","4.000","65.4",".",".",".",".",".",".","34.6",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","18","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"","675
001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","675
004","","27","4.000","29.6",".",".",".",".",".",".","70.4",".",".",".",".",".",".",".","."
"","675
010","","41","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","83","4.000","26.5",".",".",".",".",".",".","73.5",".",".",".",".",".",".",".","."
"Special Species Health","676
001","","78","3.654","52.6","26.9","19.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","","59","4.000","94.9",".",".",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","70.6",".",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","748
001","","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","748
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","Course Total","","20","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 401 of 405",""
