"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"404
Pathophys Princ-Hum Disease","001","","357","3.119","14.6","33.3","27.5","16.8","5.3","2.0","0.6",".",".",".",".",".",".",".",".","."
"651
Quality Assurance Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Quality Assurance Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"704
Pathology of Organ Systems","001","","148","3.959","93.2","5.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Topics-Cell Struct & Functn","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","53","3.404","26.4","34.0","30.2","7.5",".",".",".","1.9",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","25","",".",".",".",".",".",".",".",".",".","96.0",".",".",".",".","4.0","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 357 of 405",""
