"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"630
Latin-American Politics","001","","63","3.160","28.6","20.6","28.6","11.1","6.3","3.2","1.6",".",".",".",".",".",".",".",".","."
"633
Russian Politics","001","","57","3.079","10.5","33.3","38.6","7.0","7.0","1.8","1.8",".",".",".",".",".",".",".",".","."
"660
African Politics","001","","61","3.052","18.0","32.8","19.7","18.0","6.6","1.6","3.3",".",".",".",".",".",".",".",".","."
"682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"684
Senior Honors Thesis Smr","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"695","002","","18","3.313","16.7","50.0","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"695","003","","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","005","","19","3.237","10.5","36.8","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","71","3.521","42.3","28.2","23.9","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"698","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","6","3.313","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"699","099","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","3.560","40.9","40.9","13.6",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"801
Research and Writing Seminar","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Empir Method Pol Inquiry:Quant","001","","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
The Legislative Process","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Game Theory&Political Analysis","001","","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"853
Comparatv Political Institutns","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"854
Nationalism & Ethnic Conflict","001","","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Field Smr-Comparative Politics","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"878
Public Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
