"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"798","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"798","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","38","4.000","21.1",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.857","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"802
Ethics & Conduct of Research","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Adv Rsch Design & Methods II","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Advanced Pathophysiology","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Proseminar in Nursing Research","001","","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"817
Rsch-Communities,Populatn,Sys","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","24","3.935","41.7","4.2",".",".",".",".",".","50.0","4.2",".",".",".",".",".",".","."
