"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","130","3.260","19.2","41.5","25.4","4.6","3.8","0.8","2.3","1.5",".",".",".",".",".",".",".","0.8"
"Amer Hist-Civil War-Present","102","001","132","3.223","25.8","25.8","27.3","10.6","7.6","0.8","0.8",".",".",".",".",".",".",".","1.5","."
"Medieval Europe 410-1500","115","001","71","3.324","22.5","35.2","33.8","4.2","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","141","2.945","5.0","19.9","44.7","19.1","6.4",".","1.4","2.8",".",".",".",".",".",".",".","0.7"
"Europe&Mod World 1815-On","120","001","200","3.164","13.0","29.0","32.5","13.0","2.5","1.0","0.5","8.5",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","67","3.016","13.4","28.4","29.9","10.4","9.0","1.5","3.0","4.5",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161","001","22","2.700","9.1","27.3","18.2","9.1","18.2",".","9.1","9.1",".",".",".",".",".",".",".","."
"","199","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Historical Studies","200","002","15","2.367",".","13.3","20.0","33.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"Life in the Middle Ages","215","001","16","3.434","37.5","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","002","44","3.286","20.5","31.8","29.5","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","223","001","46","3.366","23.9","39.1","15.2","8.7",".",".","2.2","8.7",".",".",".",".",".",".","2.2","."
"","223","002","38","3.294","36.8","10.5","26.3","5.3","7.9","2.6",".","10.5",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","84","3.333","29.8","26.2","20.2","7.1","3.6","1.2","1.2","9.5",".",".",".",".",".",".","1.2","."
"Exploration-European Hist (S)","224","001","44","3.081","31.8","11.4","29.5","4.5","15.9","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243","001","68","3.008","10.3","29.4","38.2","7.4","4.4","1.5","4.4","4.4",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","44","3.218","22.7","31.8","13.6","11.4","6.8",".","2.3","9.1",".",".",".",".","2.3",".",".","."
"American Business History","247","001","69","3.285","26.1","26.1","27.5","10.1","2.9",".","1.4","5.8",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","27","3.185","14.8","40.7","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","20","3.588","45.0","40.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","118","3.504","48.3","28.0","9.3","5.9","3.4","0.8","1.7",".",".",".",".",".",".","2.5",".","."
"Africa: Introductory Survey","277","001","46","3.034","17.4","15.2","32.6","17.4","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","283","001","13","3.346","30.8","38.5","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","224","3.551","43.3","32.1","14.3","4.0","0.9","0.4","0.9","4.0",".",".",".",".",".",".",".","."
"Probs-Byzantine History&Civ","314","001","23","3.241","39.1","26.1","8.7","4.3","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","19","3.444","31.6","42.1","15.8",".",".","5.3",".",".",".",".",".",".",".","5.3",".","."
"Peoples Replc China 1949 on","342","001","47","3.503","44.7","17.0","31.9",".",".","2.1",".","2.1",".",".",".",".",".",".","2.1","."
"American Rev 1763-1789","344","001","138","3.129","10.9","25.4","44.9","13.0","4.3",".",".","0.7",".",".",".",".",".","0.7",".","."
"Women & Gender in US to 1870","353","001","26","3.602","53.8","26.9","11.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","69","3.043","13.0","29.0","33.3","15.9","2.9","1.4","2.9","1.4",".",".",".",".",".",".",".","."
"Mod Pol Hist of Jews:1655-1919","373","001","31","3.446","16.1","51.6","19.4","3.2",".",".",".","6.5",".",".",".",".",".",".",".","3.2"
"Hist of Africa, 1500-1870","377","001","61","2.890","18.0","26.2","24.6","16.4","3.3","1.6","8.2",".",".",".",".",".",".",".","1.6","."
"Hist of Africa Since 1870","378","001","69","3.303","29.0","24.6","26.1","13.0","1.4",".","1.4",".",".",".",".",".",".","4.3",".","."
"Women in History","392","001","31","2.979","6.5","16.1","51.6","16.1","9.7",".",".",".",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","70","3.120","22.9","18.6","32.9","8.6","11.4","2.9",".","2.9",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","142","3.530","41.5","30.3","14.8","4.2","0.7",".","1.4","7.0",".",".",".",".",".",".",".","."
