"","919
004","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
005","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
007","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPHTHALM
702","Dept. Total","","14","3.947","92.9","",".","7.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.800","80.0","",".","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","10","3.933","90.0","",".","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","3","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","14","3.947","92.9","",".","7.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
