"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.944","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"805
Prof Iss: Diversity&Multicultr","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Pediatric Audiology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Pediat Habilitatn/Rehabilitatn","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Geriatric Audiol: Diag & Rehab","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Hearing Sci II: Adv Topics","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Amplification Systems I","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Lab in Amplification Systems I","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Physiolog Assess Audiology I","001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"859
Lab-Physiol Assess Aud Sys I","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Auditory Processing Disorders","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Practice Management","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Amplification Systems II","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Clerkship in Audiology I","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892
Clerkship in Audiology II","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"893
Clerkship in Audiology III","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"894
Externship in Audiology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"900","002","","15","3.961","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","Course Total","","25","3.975","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 187 of 405",""
