"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"510
Topics in Oncology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","4","***","","","","","","","","","","","","","","","",""
"910
Indep Rdg & Rsch-4th Yr Med","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
