"SOCIAL & ADMINISTRATIVE PHA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy","401","001","22","3.619","45.5","27.3","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Pharmacy in Health Care System","414","001","134","3.119","20.1",".","71.6",".","8.2",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Law and Regulation","511","001","128","3.226","15.6","27.3","43.8","10.9","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Pharmacist Services Management","631","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Communicatn:Edu&Behav","652","001","121","3.719","52.9","38.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","699","112","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval-Pharmceut Serv, Prgm, Pol","711","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Hospital Phm Admin","716","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","912","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
