"COLLABORATIVE NURSING PRG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"","306
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","Course Total","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","13","3.308","30.8","46.2","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444
003","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490
026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","23","3.734","60.9","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","9","3.895","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","115","3.724","61.7","29.6","5.2","2.6",".",".","0.9",".",".",".",".",".",".",".",".","."
